                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.3469,                  4.676,                 1.4404,                0.10753,                0.15228,                0.08809,                0.03665,                 2.6721,                 3.1664,                 1.1461,              6.668e-05,              6.668e-05,              6.668e-05
                      2,                  3.786,                  5.401,                  1.542,                0.11307,                0.16244,                0.08034,                0.03155,                 2.7429,                 3.0972,                 1.1632,             0.00013518,             0.00013518,             0.00013518
                      3,                 2.7646,                 3.6503,                 1.2609,                0.20979,                0.30457,                0.22955,                0.11023,                 2.5285,                 2.3414,                 1.1185,             0.00018717,             0.00018717,             0.00018717
                      4,                 2.5914,                 2.4007,                 1.1056,                 0.6473,                0.32607,                0.44319,                0.20467,                  2.205,                 1.6986,                 1.0059,             0.00022266,             0.00022266,             0.00022266
                      5,                 2.5584,                 2.0406,                 1.0604,                0.63324,                0.33503,                0.44423,                0.19981,                 2.2335,                 1.7171,                 1.0105,             0.00024165,             0.00024165,             0.00024165
                      6,                 2.1569,                  1.918,                 1.0297,                0.63324,                0.33503,                0.44423,                0.19981,                 2.2335,                 1.7171,                 1.0105,             0.00024413,             0.00024413,             0.00024413
                      7,                 2.3542,                 1.8008,                 1.0347,                0.63324,                0.33503,                0.44423,                0.19981,                 2.2335,                 1.7171,                 1.0105,             0.00023011,             0.00023011,             0.00023011
                      8,                 2.0804,                 1.6751,                0.99999,                0.63973,                0.50478,                0.59178,                0.26699,                 2.0926,                 1.7476,                0.95972,             0.00019959,             0.00019959,             0.00019959
                      9,                 2.5499,                 3.2327,                 1.0088,                0.63973,                0.50478,                0.59178,                0.26699,                 2.0926,                 1.7476,                0.95972,             0.00015256,             0.00015256,             0.00015256
                     10,                  2.029,                  1.607,                0.96427,                0.63973,                0.50478,                0.59178,                0.26699,                 2.0926,                 1.7476,                0.95972,             8.9034e-05,             8.9034e-05,             8.9034e-05
